id	file_name	question (actual)	options (actual)	answer (actual)	question (apparent)	options (apparent)	answer (apparent)	illusion category
1	Brightness-Constancy-A_genuine_illusion_original.png	Do the two blue circles have the same hue?	"Yes, the two blue circles have the same hue.", "No, the left circle is more vivid than the right.", "No, the right circle is more vivid than the left."	"Yes, the two blue circles have the same hue."	Do the two blue circles appear to have the same hue?	"Yes, the two blue circles appear to have the same hue.", "No, the left circle appears more vivid than the right.", "No, the right circle appears more vivid than the left."	"No, the right circle appears more vivid than the left."	color
2	Brightness-Constancy-A_genuine_illusion_control.png	Do the two blue circles have the same hue?	"Yes, the two blue circles have the same hue.", "No, the left circle is more vivid than the right.", "No, the right circle is more vivid than the left."	"Yes, the two blue circles have the same hue."	Do the two blue circles appear to have the same hue?	"Yes, the two blue circles appear to have the same hue.", "No, the left circle appears more vivid than the right.", "No, the right circle appears more vivid than the left."	"Yes, the two blue circles appear to have the same hue."	color
3	Brightness-Constancy-A_fake_illusion_original.png	Do the two blue circles have the same hue?	"Yes, the two blue circles have the same hue.", "No, the left circle is more vivid than the right.", "No, the right circle is more vivid than the left."	"No, the right circle is more vivid than the left."	Do the two blue circles appear to have the same hue?	"Yes, the two blue circles appear to have the same hue.", "No, the left circle appears more vivid than the right.", "No, the right circle appears more vivid than the left."	"No, the right circle appears more vivid than the left."	color
4	Brightness-Constancy-A_fake_illusion_control.png	Do the two blue circles have the same hue?	"Yes, the two blue circles have the same hue.", "No, the left circle is more vivid than the right.", "No, the right circle is more vivid than the left."	"No, the right circle is more vivid than the left."	Do the two blue circles appear to have the same hue?	"Yes, the two blue circles appear to have the same hue.", "No, the left circle appears more vivid than the right.", "No, the right circle appears more vivid than the left."	"No, the right circle appears more vivid than the left."	color
5	Brightness-Constancy-B_genuine_illusion_original.png	Do the two purple circles have the same hue?	"Yes, the two purple circles have the same hue.", "No, the left circle is more vivid than the right.", "No, the right circle is more vivid than the left."	"Yes, the two purple circles have the same hue."	Do the two purple circles appear to have the same hue?	"Yes, the two purple circles appear to have the same hue.", "No, the left circle appears more vivid than the right.", "No, the right circle appears more vivid than the left."	"No, the right circle appears more vivid than the left."	color
6	Brightness-Constancy-B_genuine_illusion_control.png	Do the two purple circles have the same hue?	"Yes, the two purple circles have the same hue.", "No, the left circle is more vivid than the right.", "No, the right circle is more vivid than the left."	"Yes, the two purple circles have the same hue."	Do the two purple circles appear to have the same hue?	"Yes, the two purple circles appear to have the same hue.", "No, the left circle appears more vivid than the right.", "No, the right circle appears more vivid than the left."	"Yes, the two purple circles appear to have the same hue."	color
7	Brightness-Constancy-B_fake_illusion_original.png	Do the two purple circles have the same hue?	"Yes, the two purple circles have the same hue.", "No, the left circle is more vivid than the right.", "No, the right circle is more vivid than the left."	"No, the right circle is more vivid than the left."	Do the two purple circles appear to have the same hue?	"Yes, the two purple circles appear to have the same hue.", "No, the left circle appears more vivid than the right.", "No, the right circle appears more vivid than the left."	"No, the right circle appears more vivid than the left."	color
8	Brightness-Constancy-B_fake_illusion_control.png	Do the two purple circles have the same hue?	"Yes, the two purple circles have the same hue.", "No, the left circle is more vivid than the right.", "No, the right circle is more vivid than the left."	"No, the right circle is more vivid than the left."	Do the two purple circles appear to have the same hue?	"Yes, the two purple circles appear to have the same hue.", "No, the left circle appears more vivid than the right.", "No, the right circle appears more vivid than the left."	"No, the right circle appears more vivid than the left."	color
9	Café-Wall-A_genuine_illusion_original.png	Are the gray lines parallel?	"Yes, all of the gray lines are parallel.", "No, some of the gray lines are not parallel."	"Yes, all of the gray lines are parallel."	Do the gray lines appear parallel?	"Yes, all of the gray lines appear parallel.", "No, some of the gray lines appear not parallel."	"No, some of the gray lines appear not parallel."	angle
10	Café-Wall-A_genuine_illusion_control.png	Are the gray lines parallel?	"Yes, all of the gray lines are parallel.", "No, some of the gray lines are not parallel."	"Yes, all of the gray lines are parallel."	Do the gray lines appear parallel?	"Yes, all of the gray lines appear parallel.", "No, some of the gray lines appear not parallel."	"Yes, all of the gray lines appear parallel."	angle
